Ref,Val,Package,PosX,PosY,Rot,Side
Q1,STP110N8F6,TO-220-3_Horizontal_TabUp,67.040000,82.055000,180.000000,bottom
Q2,STP110N8F6,TO-220-3_Horizontal_TabUp,55.490000,82.055000,180.000000,bottom
Q3,STP110N8F6,TO-220-3_Horizontal_TabUp,43.940000,82.055000,180.000000,bottom
Q4,STP110N8F6,TO-220-3_Horizontal_TabUp,32.390000,82.055000,180.000000,bottom
Q5,STP110N8F6,TO-220-3_Horizontal_TabUp,20.840000,82.055000,180.000000,bottom
Q6,STP110N8F6,TO-220-3_Horizontal_TabUp,9.290000,82.055000,180.000000,bottom
C1,220uF 63V,CP_Elec_10x10.5,58.000000,18.750000,-90.000000,top
C2,1000uF 16V,CP_Elec_8x10.5,22.200000,52.725000,180.000000,top
C3,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.285000,4.295000,180.000000,top
C4,1000uF 16V,CP_Elec_8x10.5,34.025000,20.000000,180.000000,top
C5,680uF 100V,CP_Radial_D16.0mm_P7.50mm,12.912755,45.925000,180.000000,top
C6,680uF 100V,CP_Radial_D16.0mm_P7.50mm,12.962755,29.425000,180.000000,top
C7,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.400000,86.475000,-90.000000,top
C8,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.200000,86.475000,-90.000000,top
C9,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.200000,86.475000,-90.000000,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.300000,90.325000,0.000000,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.100000,90.325000,0.000000,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.050000,90.325000,0.000000,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.950000,59.375000,180.000000,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.700000,59.375000,180.000000,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.850000,59.325000,180.000000,top
C16,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.650000,60.275000,-90.000000,top
C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.600000,60.275000,-90.000000,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7.400000,60.275000,-90.000000,top
D1,1N4148W,Nexperia_CFP3_SOD-123W,27.660000,27.805000,0.000000,top
D2,1N4148W,Nexperia_CFP3_SOD-123W,27.350000,41.400000,-90.000000,top
D3,SS16,D_SMA_Handsoldering,45.487500,20.015000,180.000000,top
D4,SS56,ST_D_SMC,6.075000,17.775000,180.000000,top
D5,SS56,ST_D_SMC,6.075000,11.200000,180.000000,top
D6,1N4148W,Nexperia_CFP3_SOD-123W,58.750000,56.825000,0.000000,top
D7,1N4148W,Nexperia_CFP3_SOD-123W,35.700000,56.825000,0.000000,top
D8,1N4148W,Nexperia_CFP3_SOD-123W,12.500000,56.775000,0.000000,top
D9,1N4148W,Nexperia_CFP3_SOD-123W,63.450000,71.575000,90.000000,top
D10,1N4148W,Nexperia_CFP3_SOD-123W,51.825000,71.575000,90.000000,top
D11,1N4148W,Nexperia_CFP3_SOD-123W,40.250000,71.575000,90.000000,top
D12,1N4148W,Nexperia_CFP3_SOD-123W,28.725000,71.600000,90.000000,top
D13,1N4148W,Nexperia_CFP3_SOD-123W,17.250000,71.600000,90.000000,top
D14,1N4148W,Nexperia_CFP3_SOD-123W,5.500000,71.575000,90.000000,top
D15,SS56,ST_D_SMC,63.700000,77.225000,180.000000,top
D16,SS56,ST_D_SMC,53.700000,77.225000,180.000000,top
D17,SS56,ST_D_SMC,40.600000,77.225000,180.000000,top
D18,SS56,ST_D_SMC,30.600000,77.225000,180.000000,top
D19,SS56,ST_D_SMC,17.500000,77.225000,180.000000,top
D20,SS56,ST_D_SMC,7.500000,77.225000,180.000000,top
F1,0.1A,Fuse_1206_3216Metric,32.900000,52.450000,180.000000,top
F2,20A,FUSE_3522-2,14.205000,10.740000,-90.000000,top
J1,Conn_01x02,AMASS_XT60-M_1x02_P7.20mm_Vertical,30.450000,6.500000,180.000000,top
J2,Conn_01x05_Pin,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,66.975000,14.300000,90.000000,top
J3,Conn_01x05_Pin,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,48.500000,51.175000,180.000000,top
L1,100uH,L_10.4x10.4_H4.8,45.695000,11.770000,90.000000,top
R1,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,33.075000,41.400000,90.000000,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.100000,41.400000,90.000000,top
R3,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.835000,3.095000,180.000000,top
R4,7K5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.260000,2.070000,0.000000,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.300000,41.400000,-90.000000,top
R6,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.900000,41.400000,-90.000000,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.050000,41.400000,-90.000000,top
R8,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.550000,41.400000,90.000000,top
R9,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.475000,41.400000,90.000000,top
R10,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.325000,41.400000,90.000000,top
R11,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.160000,26.500000,90.000000,top
R12,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.150000,41.400000,-90.000000,top
R13,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.300000,71.575000,-90.000000,top
R14,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,54.975000,71.575000,-90.000000,top
R15,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,37.200000,71.575000,-90.000000,top
R16,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,31.825000,71.600000,-90.000000,top
R17,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14.100000,71.600000,-90.000000,top
R18,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8.650000,71.575000,-90.000000,top
U1,XL7015,TO-252-5_TabPin3,58.510000,8.545000,0.000000,top
U3,ACS712-20A,SOIC-8_3.9x4.9mm_P1.27mm,58.800000,88.625000,0.000000,top
U4,ACS712-20A,SOIC-8_3.9x4.9mm_P1.27mm,35.600000,88.625000,0.000000,top
U5,ACS712-20A,SOIC-8_3.9x4.9mm_P1.27mm,12.550000,88.625000,0.000000,top
U6,IR2104,SOIC-8_3.9x4.9mm_P1.27mm,58.750000,61.025000,180.000000,top
U7,IR2104,SOIC-8_3.9x4.9mm_P1.27mm,35.650000,61.025000,180.000000,top
U8,IR2104,SOIC-8_3.9x4.9mm_P1.27mm,12.500000,60.975000,180.000000,top
